 SUMMARY FOR UNIT  62
 Time                      新风机能耗/kWh            送风机能耗/kWh            冷冻水泵能耗/kWh          冷却水泵能耗/kWh          冷水机组能耗/kWh          冷却塔能耗/kWh            系统总能耗/kWh
  0.2400000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.4800000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.7200000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.9600000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.1200000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.9239999316325553E+0002  0.9479999298567778E+0002  0.4603820128141753E+0003  0.4400000000000000E+0002  0.6915819989631086E+0003
  0.1440000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.1680000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.1920000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.2160000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.2400000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.2640000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.2880000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.3120000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.3360000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.3600000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.3840000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.4080000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.4320000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.4560000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.4800000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.5040000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.5280000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.5520000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2309999829081388E+0002  0.2369999824641944E+0002  0.1066860457296421E+0003  0.1100000000000000E+0002  0.1644860422668754E+0003
  0.5760000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.1847999863265111E+0003  0.1895999859713556E+0003  0.1091355791672360E+0004  0.8800000000000000E+0002  0.1553755763970227E+0004
  0.6000000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.6240000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.6480000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.6720000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.6960000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.7200000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.7440000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.7680000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.6929999487244164E+0002  0.7109999473925834E+0002  0.1747950299810007E+0002  0.3300000000000000E+0002  0.1908794926098001E+0003
  0.7920000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.1154999914540694E+0003  0.1184999912320972E+0003  0.5794318106163077E+0002  0.5500000000000000E+0002  0.3469431637477974E+0003
  0.8160000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.8400000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.8640000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.8880000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.1154999914540694E+0003  0.1184999912320972E+0003  0.5146840141380395E+0002  0.5500000000000000E+0002  0.3404683840999706E+0003
  0.9120000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.5909999562725831E+0003  0.6879999490947500E+0003  0.6853067609189651E+0003  0.2950000000000000E+0003  0.2259306666286298E+0004
  0.9360000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.1616999880356972E+0003  0.1658999877249361E+0003  0.3536151494745472E+0002  0.7700000000000000E+0002  0.4399614907080880E+0003
  0.9600000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.1616999880356972E+0003  0.1658999877249361E+0003  0.3247315083446633E+0002  0.7700000000000000E+0002  0.4370731265950997E+0003
  0.9840000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.1616999880356972E+0003  0.1658999877249361E+0003  0.9761510183543914E+0001  0.7700000000000000E+0002  0.4143614859441772E+0003
  0.1008000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.1847999863265111E+0003  0.1895999859713556E+0003  0.2094751625724277E+0002  0.8800000000000000E+0002  0.4833474885551093E+0003
  0.1032000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.5909999562725831E+0003  0.6879999490947500E+0003  0.8304281414916111E+0003  0.2950000000000000E+0003  0.2404428046858945E+0004
  0.1056000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.4109999695903609E+0003  0.4624999657794723E+0003  0.3728183071612060E+0003  0.2025000000000000E+0003  0.1448818242531039E+0004
  0.1080000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2309999829081388E+0002  0.2369999824641944E+0002  0.1723523668319861E+0001  0.1100000000000000E+0002  0.5952352020555319E+0002
  0.1104000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2207999836629555E+0003  0.2346999826344112E+0003  0.8241338013904793E+0002  0.1065000000000000E+0003  0.6444133464364145E+0003
  0.1128000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2078999846173249E+0003  0.2132999842177750E+0003  0.5223681744049944E+0002  0.9900000000000000E+0002  0.5724367862755993E+0003
  0.1152000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.1385999897448833E+0003  0.1421999894785167E+0003  0.1068073599421217E+0002  0.6600000000000000E+0002  0.3574807152176121E+0003
  0.1176000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.1385999897448833E+0003  0.1421999894785167E+0003  0.1079708912629202E+0002  0.6600000000000000E+0002  0.3575970683496920E+0003
