 SUMMARY FOR UNIT  72
 Time                      F1温度                    F2温度                    F3温度                    F4温度                    室外温度
  0.1000000000000000E+0001  0.1953143054845704E+0002  0.1972416660065765E+0002  0.1971709472293375E+0002  0.1972423945850794E+0002  0.1450000000000000E+0002
  0.2000000000000000E+0001  0.1937219408443656E+0002  0.1962073344359707E+0002  0.1960995816461267E+0002  0.1962112112235105E+0002  0.1675000000000000E+0002
  0.3000000000000000E+0001  0.1942058589717448E+0002  0.1963499708520649E+0002  0.1963149804148747E+0002  0.1963577712422267E+0002  0.1625000000000000E+0002
  0.4000000000000000E+0001  0.1922012377440241E+0002  0.1951138930374558E+0002  0.1950690621911691E+0002  0.1951248548364880E+0002  0.1600000000000000E+0002
  0.5000000000000000E+0001  0.1918277695501553E+0002  0.1948153526416310E+0002  0.1947696622822452E+0002  0.1948295953355402E+0002  0.1585000000000000E+0002
  0.6000000000000000E+0001  0.1906959893947358E+0002  0.1940670428978403E+0002  0.1940383119835120E+0002  0.1940843929803150E+0002  0.1585000000000000E+0002
  0.7000000000000000E+0001  0.1898682233250025E+0002  0.1935118590973632E+0002  0.1934741863791002E+0002  0.1935322896390237E+0002  0.1550000000000000E+0002
  0.8000000000000000E+0001  0.1898740140159954E+0002  0.1935368932603404E+0002  0.1935066175970405E+0002  0.1935610126799567E+0002  0.1525000000000000E+0002
  0.9000000000000000E+0001  0.1919005787476832E+0002  0.1950406985432820E+0002  0.1949448003003064E+0002  0.1950692568646796E+0002  0.1575000000000000E+0002
  0.1000000000000000E+0002  0.1961055384835948E+0002  0.1980101666799321E+0002  0.1978724482548345E+0002  0.1980397675902075E+0002  0.1650000000000000E+0002
  0.1100000000000000E+0002  0.2013728006305850E+0002  0.2017432834688491E+0002  0.2015739469238657E+0002  0.2017707444667293E+0002  0.1730000000000000E+0002
  0.1200000000000000E+0002  0.2057076416966168E+0002  0.2049800834577993E+0002  0.2047294787173513E+0002  0.2050076174433174E+0002  0.1780000000000000E+0002
  0.1300000000000000E+0002  0.2097335106988115E+0002  0.2079820694486967E+0002  0.2076538461606930E+0002  0.2080152768587100E+0002  0.1850000000000000E+0002
  0.1400000000000000E+0002  0.2145305543100754E+0002  0.2126197605902548E+0002  0.2122442957584395E+0002  0.2126712740066807E+0002  0.1925000000000000E+0002
  0.1500000000000000E+0002  0.2210324747558170E+0002  0.2227564058887625E+0002  0.2223811951209213E+0002  0.2228443282759249E+0002  0.1925000000000000E+0002
  0.1600000000000000E+0002  0.2257454720775432E+0002  0.2331318421366524E+0002  0.2327489371091556E+0002  0.2332724771929261E+0002  0.1900000000000000E+0002
  0.1700000000000000E+0002  0.2270103151640181E+0002  0.2386576740174807E+0002  0.2381676601320774E+0002  0.2388424655555769E+0002  0.1905000000000000E+0002
  0.1800000000000000E+0002  0.2206187205819314E+0002  0.2316320136595260E+0002  0.2310093868855627E+0002  0.2318331379907996E+0002  0.1855000000000000E+0002
  0.1900000000000000E+0002  0.2125546777257392E+0002  0.2211577591398921E+0002  0.2204472557157462E+0002  0.2213520329541228E+0002  0.1800000000000000E+0002
  0.2000000000000000E+0002  0.2096431248419820E+0002  0.2177269445100879E+0002  0.2171894916568496E+0002  0.2179070284197499E+0002  0.1735000000000000E+0002
  0.2100000000000000E+0002  0.2068074684183463E+0002  0.2144843522306298E+0002  0.2141974346527176E+0002  0.2146565270580630E+0002  0.1635000000000000E+0002
