 SUMMARY FOR UNIT  76
 Time                      F1相对湿度                F2相对湿度                F3相对湿度                F4相对湿度                室外相对湿度
  0.1000000000000000E+0001  0.5147523391901020E+0002  0.5086258138426862E+0002  0.5088491540798871E+0002  0.5086235134590375E+0002  0.7700000000000000E+0002
  0.2000000000000000E+0001  0.5198766467083145E+0002  0.5119033994588133E+0002  0.5122462098714858E+0002  0.5118910704510427E+0002  0.7750000000000000E+0002
  0.3000000000000000E+0001  0.5183133327743251E+0002  0.5114500051428406E+0002  0.5115611864348107E+0002  0.5114252232904941E+0002  0.7750000000000000E+0002
  0.4000000000000000E+0001  0.5248239416772243E+0002  0.5153941415112343E+0002  0.5155378312676835E+0002  0.5153590141116743E+0002  0.7950000000000000E+0002
  0.5000000000000000E+0001  0.5260470249922950E+0002  0.5163518586614930E+0002  0.5164986097552701E+0002  0.5163061226907085E+0002  0.8100000000000000E+0002
  0.6000000000000000E+0001  0.5297731430801993E+0002  0.5187612414981856E+0002  0.5188540000050025E+0002  0.5187052353336367E+0002  0.8100000000000000E+0002
  0.7000000000000000E+0001  0.5325171543322226E+0002  0.5205569727182214E+0002  0.5206790773766866E+0002  0.5204907667957498E+0002  0.8500000000000000E+0002
  0.8000000000000000E+0001  0.5324979030150298E+0002  0.5204758498983666E+0002  0.5205739595191361E+0002  0.5203977047344048E+0002  0.8550000000000000E+0002
  0.9000000000000000E+0001  0.5271275875459730E+0002  0.5176838541571610E+0002  0.5173072438640624E+0002  0.5175919320731695E+0002  0.8250000000000000E+0002
  0.1000000000000000E+0002  0.5160825752931885E+0002  0.5122579034614640E+0002  0.5106769078071321E+0002  0.5121638407497595E+0002  0.7700000000000000E+0002
  0.1100000000000000E+0002  0.5019871141883079E+0002  0.5044885226864250E+0002  0.5017293080522786E+0002  0.5044028303081720E+0002  0.7250000000000000E+0002
  0.1200000000000000E+0002  0.4911442670067083E+0002  0.4983626573783464E+0002  0.4946203999084652E+0002  0.4982779923038962E+0002  0.6850000000000000E+0002
  0.1300000000000000E+0002  0.4814802498689219E+0002  0.4930175679648774E+0002  0.4883163134685659E+0002  0.4929167881697142E+0002  0.6200000000000000E+0002
