 SUMMARY FOR UNIT  63
 Time                      新风机能耗/kWh            送风机能耗/kWh            冷冻水泵能耗/kWh          冷却水泵能耗/kWh          冷水机组能耗/kWh          冷却塔能耗/kWh            系统总能耗/kWh
  0.1000000000000000E+0001  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.2000000000000000E+0001  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.3000000000000000E+0001  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.4000000000000000E+0001  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.5000000000000000E+0001  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.6000000000000000E+0001  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.7000000000000000E+0001  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.8000000000000000E+0001  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.9000000000000000E+0001  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.1000000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.1100000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.1200000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.1300000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.1400000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.1500000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.1600000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.1700000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.1800000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.1900000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.2000000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.2100000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.2200000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.2300000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.2400000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.2500000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.2600000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.2700000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.2800000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.2900000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.3000000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.3100000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.3200000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.3300000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.3400000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.3500000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.3600000000000000E+0002  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
