 SUMMARY FOR UNIT  68
 Simulation Summary in intervals of         1.000000 month
 -----------------------------------------------------------------------------
 Month                     Time                      ÷∆¿‰¡ø/kWh
                       Jan  0.7440000000000000E+0003  0.9486602863797727E+0004
                       Feb  0.1416000000000000E+0004  0.2178278556784152E+0005
                       Mar  0.2160000000000000E+0004  0.1718915188628070E+0006
                       Apr  0.2880000000000000E+0004  0.3342039266258428E+0006
                       May  0.3624000000000000E+0004  0.4905780598739088E+0006
                       Jun  0.4344000000000000E+0004  0.7730107350776888E+0006
                       Jul  0.5088000000000000E+0004  0.9170609588992191E+0006
                       Aug  0.5832000000000000E+0004  0.7704366408451913E+0006
                       Sep  0.6552000000000000E+0004  0.6813916527921464E+0006
                       Oct  0.7296000000000000E+0004  0.4063044253113428E+0006
                       Nov  0.8016000000000000E+0004  0.2163567170929874E+0006
                       Dec  0.8760000000000000E+0004  0.1032319164733615E+0005
                       Sum  0.8760000000000000E+0004  0.4802827215460109E+0007

