 SUMMARY FOR UNIT  61
 Simulation Summary in intervals of         1.000000 month
 -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Month                     Time                      新风机能耗/kWh            送风机能耗/kWh            冷冻水泵能耗/kWh          冷却水泵能耗/kWh          冷水机组能耗/kWh          冷却塔能耗/kWh            系统总能耗/kWh
                       Jan  0.7440000000000000E+0003  0.0000000000000000E+0000  0.0000000000000000E+0000  0.3002999777805804E+0003  0.3080999772034529E+0003  0.1658423850216178E+0004  0.1430000000000000E+0003  0.2409823805200211E+0004
                       Feb  0.1416000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.4476299668799576E+0004  0.4910999636632953E+0004  0.3220548120021013E+0004  0.2184500000000000E+0004  0.1479234742545354E+0005
                       Mar  0.2160000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.5243699612014760E+0004  0.5379899601937215E+0004  0.3247571604667325E+0005  0.2497000000000000E+0004  0.4559631526062523E+0005
                       Apr  0.2880000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.1157069914390561E+0005  0.1409209895732534E+0005  0.5678312706405855E+0005  0.5879000000000000E+0004  0.8832492516528958E+0005
                       May  0.3624000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2938589782578421E+0005  0.3519509739591170E+0005  0.8596522011109335E+0005  0.1483200000000000E+0005  0.1653782153327895E+0006
                       Jun  0.4344000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.1816919865569415E+0005  0.2207039836701057E+0005  0.1443720602309937E+0006  0.9222000000000000E+0004  0.1938336572536987E+0006
                       Jul  0.5088000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2117609843321357E+0005  0.2531869812666720E+0005  0.1761831574944270E+0006  0.1068100000000000E+0005  0.2333589540543077E+0006
                       Aug  0.5832000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.1650629877872948E+0005  0.2008669851378480E+0005  0.1470634443150485E+0006  0.8384000000000000E+0004  0.1920404416075628E+0006
                       Sep  0.6552000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.1737179871469146E+0005  0.2103999844324967E+0005  0.1223961148877394E+0006  0.8807000000000000E+0004  0.1696149120456805E+0006
                       Oct  0.7296000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.9434999301922941E+0004  0.1155799914482372E+0005  0.7013012759746950E+0005  0.4805000000000000E+0004  0.9592812604421616E+0005
                       Nov  0.8016000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.6929999487244200E+0004  0.7109999473925835E+0004  0.4172674150478075E+0005  0.3300000000000000E+0004  0.5906674046595069E+0005
                       Dec  0.8760000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.6120299547161028E+0004  0.6760999499750837E+0004  0.1501141971129170E+0004  0.2994500000000000E+0004  0.1737694101804104E+0005
                       Sum  0.8760000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.1466855891469416E+0006  0.1738309871382233E+0006  0.8834758231936502E+0006  0.7372900000000000E+0005  0.1277721399478815E+0007

